City,Country,Continent,Longitude,Latitude
Yogyakarta,Indonesia,Asia,110.719,-7.647
Praya,Indonesia,Asia,116.461,-8.596
Padang,Indonesia,Asia,100.586,-0.792
Tehran,Iran,Asia,51,35
Mashhad,Iran,Asia,59,36
Tabriz,Iran,Asia,46.391,38.223
Shiraz,Iran,Asia,52.982,29.898
Bandar Abbas,Iran,Asia,56.629,27.363
Ahwaz,Iran,Asia,49.269,31.562
Kish Island,Iran,Asia,54.633,26.876
Isfahan,Iran,Asia,52.435,33.251
Zahedan,Iran,Asia,61.51,29.792
Lar,Iran,Asia,54.638,28.124
Chah Bahar,Iran,Asia,60.636,25.738
Dasht-e-naz,Iran,Asia,53.322,37.059
Sanandaj,Iran,Asia,47.015,35.409
Bakhtaran,Iran,Asia,47.263,34.576
Bushehr,Iran,Asia,51.391,29.574
Yazd,Iran,Asia,54.46,32.508
Abadan,Iran,Asia,48.38,30.618
Sulaymaniyah,Iraq,Asia,45.524,35.934
Erbil,Iraq,Asia,44.605,36.396
Najaf,Iraq,Asia,44.673,32.652
Basrah,Iraq,Asia,48.103,30.915
Baghdad,Iraq,Asia,44.39,33.437
Dublin,Ireland,Europe,-5.784,53.702
Cork,Ireland,Europe,-8.152,52.402
Shannon,Ireland,Europe,-8.875,53.169
Connaught,Ireland,Europe,-8.698,54.517
Kerry,Ireland,Europe,-9.207,52.301
Waterford,Ireland,Europe,-6.479,52.312
Leixlip,Ireland,Europe,-6.146,53.585
Dongloe,Ireland,Europe,-7.902,55.073
Isle Of Man,Isle of Man,Europe,-4.374,54.138
Tel-aviv,Israel,Asia,35.477,32.018
Ovda,Israel,Asia,35.559,30.567
Rome,Italy,Europe,12.417,42.34
Milan,Italy,Europe,9.461,45.741
Milano,Italy,Europe,9.213,46.051
Torino,Italy,Europe,8.082,45.334
Venice,Italy,Europe,12.586,45.842
Firenze,Italy,Europe,11.341,44.349
Catania,Italy,Europe,15.11,37.777
Villafranca,Italy,Europe,11.48,45.659
Pisa,Italy,Europe,10.654,44.139
Naples,Italy,Europe,14.484,41.476
Bologna,Italy,Europe,11.481,44.892
Bergamo,Italy,Europe,10.173,46.123
Bari,Italy,Europe,17.267,41.231
Rimini,Italy,Europe,13.019,44.033
Genoa,Italy,Europe,9.395,44.688
Palermo,Italy,Europe,13.151,38.293
Ancona,Italy,Europe,13.603,44.027
Olbia,Italy,Europe,9.862,41.497
Brindisi,Italy,Europe,18.578,41.096
Treviso,Italy,Europe,12.324,46.08
Forli,Italy,Europe,12.116,44.324
Levaldigi,Italy,Europe,8.038,44.911
Cagliari,Italy,Europe,9.09,39.419
Ronchi De Legionari,Italy,Europe,13.787,46.379
Pescara,Italy,Europe,14.301,42.719
Perugia,Italy,Europe,12.855,43.159
Trapani,Italy,Europe,12.813,38.519
Lamezia,Italy,Europe,16.403,39.508
Parma,Italy,Europe,10.493,45.374
Alghero,Italy,Europe,8.484,41.053
Montego Bay,Jamaica,NorthAmerica,-77.856,18.839
Kingston,Jamaica,NorthAmerica,-76.646,18.559
Tokyo,Japan,Asia,140.643,36.274
Osaka,Japan,Asia,135.406,34.724
