departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Niamey,2.306,13.802,Niger,Ouagadougou,-1.188,12.588,Burkina Faso,7,401
Douala,10.199,4.01,Cameroon,Cotonou,2.64,6.595,Benin,7,884
Cotonou,2.64,6.595,Benin,Douala,10.199,4.01,Cameroon,7,884
Seoul,126.75,37.781,South Korea,Fukuoka,130.751,33.976,Japan,6,555
Fukuoka,130.751,33.976,Japan,Seoul,126.75,37.781,South Korea,6,555
Lisbon,-8.56,39.302,Portugal,BarcelonaS,2.13,41.495,Spain,6,936
BarcelonaS,2.13,41.495,Spain,Lisbon,-8.56,39.302,Portugal,6,936
Vienna,16.949,48.183,Austria,Moscow,38.51,55.681,Russia,6,1687
Moscow,38.51,55.681,Russia,Vienna,16.949,48.183,Austria,6,1687
Manchester,-1.792,53.589,United Kingdom,Alicante,-0.264,38.47,Spain,6,1685
Alicante,-0.264,38.47,Spain,Manchester,-1.792,53.589,United Kingdom,6,1685
Kuwait,48.614,29.377,Kuwait,Dubai,55.607,25.421,United Arab Emirates,6,818
Dubai,55.607,25.421,United Arab Emirates,Kuwait,48.614,29.377,Kuwait,6,818
Colombo,80.473,7.301,Sri Lanka,Male,73.881,4.319,Maldives,6,800
Wellington,175.342,-40.879,New Zealand,Sydney,151.295,-33.911,Australia,6,2252
Chicago,-87.842,42.631,United States,Amsterdam,5.273,52.514,Netherlands,6,6574
Freeport,-78.493,26.931,Bahamas,Fort Lauderdale,-79.588,26.12,United States,6,141
Freetown,-12.66,9.027,Sierra Leone,Banjul,-16.421,13.563,Gambia,6,649
Fort Lauderdale,-79.588,26.12,United States,Freeport,-78.493,26.931,Bahamas,6,141
Banjul,-16.421,13.563,Gambia,Freetown,-12.66,9.027,Sierra Leone,6,649
Amsterdam,5.273,52.514,Netherlands,Chicago,-87.842,42.631,United States,6,6574
Accra,0.388,6.008,Ghana,Lome,1.424,6.276,Togo,6,118
Surabaya,113.311,-6.967,Indonesia,Singapore,104.657,1.583,Singapore,6,1351
Singapore,104.657,1.583,Singapore,Surabaya,113.311,-6.967,Indonesia,6,1351
Los Angeles,-118.014,34.57,United States,Guatemala City,-90.213,14.972,Guatemala,6,3531
Guatemala City,-90.213,14.972,Guatemala,Los Angeles,-118.014,34.57,United States,6,3531
Brisbane,153.195,-26.974,Australia,Auckland,175.319,-36.347,New Zealand,6,2331
Shanghai,122.342,31.238,China,Nagoya,137.342,35.43,Japan,6,1467
Beijing,116.974,40.133,China,Hong Kong,114.524,22.514,Hong Kong,6,1972
Tokyo,140.643,36.274,Japan,Guangzhou,113.497,23.654,China,6,2952
Nagoya,137.342,35.43,Japan,Shanghai,122.342,31.238,China,6,1467
Hong Kong,114.524,22.514,Hong Kong,Beijing,116.974,40.133,China,6,1972
Guangzhou,113.497,23.654,China,Tokyo,140.643,36.274,Japan,6,2952
Taipei,121.388,25.129,Taiwan,Seoul,126.75,37.781,South Korea,6,1495
Seoul,126.75,37.781,South Korea,Taipei,121.388,25.129,Taiwan,6,1495
Entebbe,32.739,0.07,Uganda,Addis Ababa,39.332,9.629,Ethiopia,6,1289
Addis Ababa,39.332,9.629,Ethiopia,Entebbe,32.739,0.07,Uganda,6,1289
Singapore,104.657,1.583,Singapore,Melbourne,145.405,-37.456,Australia,6,6031
Singapore,104.657,1.583,Singapore,Frankfurt,8.905,50.044,Germany,6,10282
Melbourne,145.405,-37.456,Australia,Singapore,104.657,1.583,Singapore,6,6031
London,-0.103,51.795,United Kingdom,Budapest,19.425,47.728,Hungary,6,1468
Frankfurt,8.905,50.044,Germany,Singapore,104.657,1.583,Singapore,6,10282
Budapest,19.425,47.728,Hungary,London,-0.103,51.795,United Kingdom,6,1468
Rio De Janeiro,-42.74,-22.682,Brazil,Buenos Aires,-58.227,-34.704,Argentina,6,2012
Buenos Aires,-58.227,-34.704,Argentina,Rio De Janeiro,-42.74,-22.682,Brazil,6,2012
Amsterdam,5.273,52.514,Netherlands,Madrid,-3.278,40.822,Spain,6,1452
Lisbon,-8.56,39.302,Portugal,Paris,2.916,49.021,France,6,1413
Milan,9.461,45.741,Italy,Paris,2.916,49.021,France,6,612
Houston,-94.903,30.64,United States,Paris,2.916,49.021,France,6,8012
