departure city,arrival city,number of routes,distance
Mexico City,Miami,5,2040
London,Las Vegas,5,8356
London,Bahrain,5,5091
London,Abu Dhabi,5,5505
Los Angeles,Calgary,5,1885
Los Angeles,Shanghai,5,10351
Las Vegas,London,5,8356
New York,San JoseC,5,3521
New York,SantiagoC,5,8240
New York,Milano,5,6387
New York,Sao Paulo,5,7674
New York,BarcelonaS,5,6111
Honolulu,Sydney,5,8180
Hong Kong,Ho Chi Minh City,5,1469
Guatemala City,Miami,5,1660
Sao Paulo,New York,5,7674
BarcelonaS,New York,5,6111
Bahrain,London,5,5091
Abu Dhabi,London,5,5505
Sofia,Athens,5,516
Milano,Athens,5,1509
London,Athens,5,2410
Athens,Sofia,5,516
Athens,Milano,5,1509
Athens,London,5,2410
Singapore,Madras,5,2996
Madras,Singapore,5,2996
Madras,Colombo,5,707
Colombo,Madras,5,707
Paris,Frankfurt,5,446
St. Thomas,San Juan,5,44
San Juan,St. Thomas,5,44
Busan,Hong Kong,5,2035
Hong Kong,Busan,5,2035
Dubai,Delhi,5,2165
Dubai,Bombay,5,1961
Delhi,Dubai,5,2165
Bombay,Dubai,5,1961
Manila,Seoul,5,2611
Seoul,Manila,5,2611
Nairobi,Juba,5,934
Juba,Nairobi,5,934
Stuttgart,London,5,731
London,Stuttgart,5,731
Dhaka,Calcutta,5,243
Dhaka,Bangkok,5,1591
Calcutta,Dhaka,5,243
Bangkok,Dhaka,5,1591
Taipei,Chengdu,5,1770
Chengdu,Taipei,5,1770
Singapore,Phuket,5,999
Singapore,Guangzhou,5,2632
Phuket,Singapore,5,999
Libreville,Cotonou,5,1015
Dakar,Bamako,5,1029
Cotonou,Libreville,5,1015
Bamako,Dakar,5,1029
Manchester,Gran Canaria,4,2984
Gran Canaria,Manchester,4,2984
Moscow,Dnepropetrovsk,4,820
Moscow,Bangkok,4,7018
Dnepropetrovsk,Moscow,4,820
Bangkok,Moscow,4,7018
Yerevan,Moscow,4,1774
Moscow,Yerevan,4,1774
Bucharest,Madrid,4,2428
Madrid,Bucharest,4,2428
Jeddah,Amman,4,1149
Amman,Jeddah,4,1149
Vienna,Istanbul,4,1216
Istanbul,Vienna,4,1216
Tenerife,NewcastleU,4,3228
NewcastleU,Tenerife,4,3228
San Salvador,Los Angeles,4,3766
Lima,San JoseC,4,2573
Los Angeles,San Salvador,4,3766
Graz,Munich,4,274
Sverdlovsk,Osh,4,1996
Sverdlovsk,Bishkek,4,1833
Novosibirsk,Osh,4,1714
Osh,Sverdlovsk,4,1996
Osh,Novosibirsk,4,1714
Osh,Samara,4,2228
Samara,Osh,4,2228
Bishkek,Sverdlovsk,4,1833
Sydney,Seoul,4,8365
Seoul,Sydney,4,8365
Amsterdam,Brussels,4,116
Melbourne,Bangkok,4,7359
Bangkok,Melbourne,4,7359
Seoul,Shizuoka,4,1067
Seoul,Sapporo,4,1435
Shizuoka,Seoul,4,1067
Sapporo,Seoul,4,1435
Philadelphia,Madrid,4,5849
Madrid,Philadelphia,4,5849
Kuwait,Jeddah,4,1234
Jeddah,Kuwait,4,1234
Beirut,Amman,4,253
Amman,Beirut,4,253
Zurich,BarcelonaS,4,880
Prague,BarcelonaS,4,1352
Milano,Madrid,4,1162
Madrid,Milano,4,1162
Madrid,Copenhagen,4,2066
Madrid,Caracas,4,7006
Copenhagen,Madrid,4,2066
Caracas,Madrid,4,7006
Brussels,Madrid,4,1338
Brussels,BarcelonaS,4,1131
BarcelonaS,Zurich,4,880
BarcelonaS,Prague,4,1352
BarcelonaS,Brussels,4,1131
Istanbul,Amsterdam,4,2172
Amsterdam,Istanbul,4,2172
Salzburg,Moscow,4,1913
Innsbruck,Moscow,4,2058
Moscow,Salzburg,4,1913
Moscow,Innsbruck,4,2058
Singapore,Medan,4,668
Singapore,Bandung,4,1005
Medan,Singapore,4,668
Frankfurt,Amsterdam,4,373
Bandung,Singapore,4,1005
Amsterdam,Frankfurt,4,373
Kiev,Dubai,4,3472
Dubai,Kiev,4,3472
Osh,St. Petersburg,4,3608
St. Petersburg,Osh,4,3608
Tenerife,Birmingham,4,3000
London,Palma de Mallorca,4,1344
Palma de Mallorca,London,4,1344
Porto,BarcelonaS,4,882
Manchester,Malaga,4,1839
East Midlands,Las Palmas,4,2834
Bristol,Tenerife,4,2860
Birmingham,Tenerife,4,3000
Birmingham,Las Palmas,4,2751
BarcelonaS,Porto,4,882
Las Palmas,East Midlands,4,2834
Las Palmas,Birmingham,4,2751
Shanghai,Busan,4,808
Busan,Shanghai,4,808
Singapore,Abu Dhabi,4,5904
Brussels,Abu Dhabi,4,5167
Abu Dhabi,Singapore,4,5904
Abu Dhabi,Brussels,4,5167
Abu Dhabi,Amman,4,1980
Nairobi,Addis Ababa,4,1183
Addis Ababa,Nairobi,4,1183
Riyadh,Dubai,4,847
Dubai,Riyadh,4,847
Dubai,Doha,4,368
Dubai,Dammam,4,548
Dubai,Moscow,4,3639
Dubai,Amman,4,1990
Dammam,Dubai,4,548
Moscow,Dubai,4,3639
Cork,London,4,553
London,Cork,4,553
Santo Domingo,Madrid,4,6676
Madrid,Santo Domingo,4,6676
Riyadh,Alexandria,4,1784
Kuwait,Sohag,4,1636
Kuwait,Alexandria,4,1782
Sohag,Kuwait,4,1636
Alexandria,Riyadh,4,1784
Alexandria,Kuwait,4,1782
Munich,Stockholm,4,1339
Geneva,Copenhagen,4,1172
Rome,Stockholm,4,2016
Copenhagen,Geneva,4,1172
Stockholm,Munich,4,1339
Stockholm,Rome,4,2016
Harare,Lusaka,4,420
Bamako,Abidjan,4,939
Abidjan,Bamako,4,939
Chicago,Seoul,4,10414
Tokyo,Manila,4,3076
Montevideo,Porto Alegre,4,691
Manila,Tokyo,4,3076
Seoul,Chicago,4,10414
Seoul,Honolulu,4,7313
Honolulu,Seoul,4,7313
Queenstown International,Sydney,4,1928
Wellington,Melbourne,4,2595
Sydney,Queenstown International,4,1928
Sydney,Nandi,4,3193
Nandi,Sydney,4,3193
Melbourne,Denpasar,4,4412
Christchurch,Melbourne,4,2402
Kuala Lumpur,Tokyo,4,5383
Tokyo,Kuala Lumpur,4,5383
Shanghai,Kuala Lumpur,4,3761
Kuala Lumpur,Shanghai,4,3761
Seoul,Changcha,4,1629
Changcha,Seoul,4,1629
Xiamen,Hong Kong,4,460
Sanya,Hong Kong,4,672
Singapore,Colombo,4,2754
Nanjing,Hong Kong,4,1184
Ninbo,Hong Kong,4,1132
Hong Kong,Xiamen,4,460
Hong Kong,Sanya,4,672
Hong Kong,Nanjing,4,1184
Hong Kong,Ninbo,4,1132
Colombo,Singapore,4,2754
Zurich,Washington,4,6614
Tselinograd,Frankfurt,4,4306
Sydney,San Francisco,4,11992
San Francisco,Sydney,4,11992
San Francisco,Osaka,4,8663
San Francisco,Frankfurt,4,9104
San Francisco,Cancun,4,3856
San Salvador,Houston,4,1993
Chicago,Sao Paulo,4,8463
Tokyo,Washington,4,10738
Nagoya,Agana,4,2533
Madrid,Newark,4,5731
Lisbon,Newark,4,5393
Los Angeles,Cancun,4,3398
Osaka,San Francisco,4,8663
Houston,San Salvador,4,1993
Washington,Zurich,4,6614
Washington,Tokyo,4,10738
Washington,Sao Paulo,4,7670
Baku,Frankfurt,4,3327
Agana,Nagoya,4,2533
Sao Paulo,Chicago,4,8463
Sao Paulo,Washington,4,7670
Frankfurt,Tselinograd,4,4306
Frankfurt,San Francisco,4,9104
Frankfurt,Baku,4,3327
Frankfurt,Doha,4,4574
Frankfurt,Abuja,4,4564
Newark,Madrid,4,5731
Newark,Lisbon,4,5393
Newark,Copenhagen,4,6144
Newark,BarcelonaS,4,6105
Cancun,Los Angeles,4,3398
Copenhagen,Newark,4,6144
Brussels,Bamako,4,4443
Brussels,Accra,4,5075
Bamako,Brussels,4,4443
BarcelonaS,Newark,4,6105
Abuja,Frankfurt,4,4564
Panama City,Orlando,4,2187
Panama City,Houston,4,2907
Orlando,Panama City,4,2187
